kepoi_name,koi_disposition,kepid,koi_period,koi_time0bk,koi_duration,koi_depth,koi_max_sngle_ev,koi_max_mult_ev,koi_num_transits,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,ra,dec,koi_kepmag
K00752.01,CONFIRMED,10797460,9.48803557,170.53875,2.9575,615.8,5.135849,28.47082,142.0,5455.0,4.467,0.14,0.927,0.919,291.93423,48.141651,15.347
K00752.02,CONFIRMED,10797460,54.4183827,162.51384,4.507,874.8,7.027669,20.109507,25.0,5455.0,4.467,0.14,0.927,0.919,291.93423,48.141651,15.347
K00753.01,CANDIDATE,10811496,19.89913995,175.850252,1.7822,10829.0,37.159767,187.4491,56.0,5853.0,4.544,-0.18,0.868,0.961,297.00482,48.134129,15.436
K00754.01,FALSE POSITIVE,10848459,1.736952453,170.307565,2.40641,8079.2,39.06655,541.8951,621.0,5805.0,4.564,-0.52,0.791,0.836,285.53461,48.28521,15.597
K00755.01,CONFIRMED,10854555,2.525591777,171.59555,1.6545,603.3,4.749945,33.1919,515.0,6031.0,4.438,0.07,1.046,1.095,288.75488,48.2262,15.509
K00756.01,CONFIRMED,10872983,11.09432054,171.20116,4.5945,1517.5,9.046456,55.204865,95.0,6046.0,4.486,-0.08,0.972,1.053,296.28613,48.22467,15.714
K00756.02,CONFIRMED,10872983,4.13443512,172.97937,3.1402,686.0,5.500643,33.546658,240.0,6046.0,4.486,-0.08,0.972,1.053,296.28613,48.22467,15.714
K00756.03,CONFIRMED,10872983,2.56658897,179.55437,2.429,226.5,4.3886313,12.325094,355.0,6046.0,4.486,-0.08,0.972,1.053,296.28613,48.22467,15.714
K00114.01,FALSE POSITIVE,6721123,7.36178958,132.25053,5.022,233.7,10.964684,46.15308,185.0,6227.0,3.986,0.0,1.958,1.358,298.86435,42.151569,12.66
K00757.01,CONFIRMED,10910878,16.06864674,173.621937,3.5347,4914.3,20.457163,137.44981,69.0,5031.0,4.485,0.16,0.848,0.801,286.99948,48.37579,15.841
K00001.01,CONFIRMED,11446443,2.470613377,122.763305,1.74319,14231.0,544.1701,6468.04,432.0,5820.0,4.457,-0.06,0.964,0.971,286.80847,49.316399,11.338
K00002.01,CONFIRMED,10666592,2.204735417,121.3585417,3.88864,6674.7,232.27,3862.1846,611.0,6440.0,4.019,0.14,1.952,1.449,292.24728,47.969521,10.463
K00010.01,CONFIRMED,6922244,3.522498429,121.1194228,3.19843,9145.7,130.83832,1725.5824,384.0,6225.0,4.169,-0.04,1.451,1.132,281.28812,42.45108,13.563
K00112.02,CONFIRMED,10984090,3.709214104,133.98318,2.6302,131.1,4.8657312,41.28873,352.0,5833.0,4.407,-0.04,1.022,0.974,295.64871,48.49556,12.772
K00742.01,FALSE POSITIVE,10419211,11.521446064,170.839688,3.6399,17984.0,92.901566,628.3708,96.0,5795.0,4.554,-0.2,0.848,0.938,297.07993,47.597401,15.472
K00743.01,FALSE POSITIVE,10464078,19.40393776,172.484253,12.2155,8918.7,49.468765,320.90817,71.0,5043.0,4.591,-0.54,0.68,0.657,289.25821,47.635319,15.487
K00744.01,FALSE POSITIVE,10480982,19.221388942,184.5521637,4.79843,74284.0,387.658,2174.4263,55.0,6117.0,4.496,-0.22,0.947,1.025,295.81454,47.69035,15.341
K00745.01,FALSE POSITIVE,10485250,16.46983774,180.881761,9.4378,10479.0,43.1625,258.8247,66.0,5152.0,4.517,-0.2,0.786,0.741,297.15442,47.668701,15.788
K00746.01,CONFIRMED,10526549,9.27358173,173.258155,3.2875,1288.3,9.616924,71.48005,144.0,4856.0,4.583,-0.3,0.696,0.676,288.13824,47.724449,15.302
K00747.01,CONFIRMED,10583066,6.02930329,171.602959,1.5821,1912.7,6.876831,52.36939,215.0,4537.0,4.648,0.21,0.672,0.761,283.71088,47.86327,15.784
K00748.01,FALSE POSITIVE,10583180,2.696370652,170.73769,3.6129,397.9,5.508401,34.570904,501.0,4989.0,4.504,0.1,0.819,0.781,283.76547,47.804298,15.269
K00749.01,CONFIRMED,10601284,5.349553819,171.80694,3.0278,831.0,6.0370364,48.504196,247.0,5185.0,4.44,0.16,0.91,0.831,292.37613,47.880989,15.416
K00749.02,CONFIRMED,10601284,3.94105221,136.08662,2.5984,363.3,4.5118856,22.749151,322.0,5185.0,4.44,0.16,0.91,0.831,292.37613,47.880989,15.416
K00749.03,CONFIRMED,10601284,8.10904807,132.8031,3.596,217.4,4.434382,9.776852,141.0,5185.0,4.44,0.16,0.91,0.831,292.37613,47.880989,15.416
K00113.01,FALSE POSITIVE,2306756,386.6030528,166.342079,6.8057,24927.0,,,,5543.0,4.081,0.44,1.58,1.103,292.27374,37.671558,12.394
K00750.01,CONFIRMED,10662202,21.67699193,171.53594,3.4555,857.2,5.911944,24.54073,62.0,4954.0,4.5,0.18,0.828,0.791,290.46512,47.92918,15.377
K00751.01,CONFIRMED,10682541,4.99677968,171.74208,2.1717,934.7,4.132564,24.283327,208.0,5339.0,4.552,0.18,0.847,0.931,297.80826,47.946671,15.861
K00769.01,CONFIRMED,11460018,4.280963604,171.89659,2.875,750.8,6.7006826,52.913242,311.0,5644.0,4.564,-0.14,0.831,0.928,294.26581,49.314091,15.356
K00770.01,FALSE POSITIVE,11463211,1.50635409,170.998064,1.5155,2211.7,9.787732,130.6654,882.0,5714.0,4.563,-0.2,0.831,0.926,295.66522,49.351009,15.525
K00771.01,FALSE POSITIVE,11465813,670.645531,209.04355,53.412,18091.0,70.64302,96.96236,3.0,5520.0,4.466,0.48,0.983,1.03,296.69861,49.316479,15.207
K00772.01,FALSE POSITIVE,11493732,61.2563628,173.83826,7.633,5123.3,31.079844,73.10389,13.0,6144.0,4.402,0.0,1.091,1.093,283.72592,49.479519,15.25
K00773.01,CONFIRMED,11507101,38.3775486,172.82048,5.588,724.2,10.352898,31.946487,37.0,5481.0,4.369,0.16,1.036,0.915,291.72202,49.480869,15.172
K00757.02,CONFIRMED,10910878,41.19725502,165.00404,4.6297,2213.9,11.918161,37.877567,26.0,5031.0,4.485,0.16,0.848,0.801,286.99948,48.37579,15.841
K00757.03,CONFIRMED,10910878,6.252962249,171.30126,2.5819,1036.9,5.834264,35.96252,167.0,5031.0,4.485,0.16,0.848,0.801,286.99948,48.37579,15.841
K00758.01,CONFIRMED,10987985,16.01308419,176.3608,3.2554,1121.9,8.468995,31.066507,65.0,5015.0,4.499,0.1,0.826,0.785,297.02563,48.478588,15.39
K00759.01,CONFIRMED,11018648,32.62876672,194.1019,4.7971,1804.8,14.0889,61.372303,34.0,5586.0,4.56,-0.3,0.798,0.844,285.71854,48.505859,15.082
K00759.02,CONFIRMED,11018648,91.7732862,193.8378,6.473,652.0,6.9461374,14.678595,11.0,5586.0,4.56,-0.3,0.798,0.844,285.71854,48.505859,15.082
K00760.01,CONFIRMED,11138155,4.959319244,172.2585292,2.22739,9802.0,58.764744,670.4895,269.0,5712.0,4.359,0.1,1.082,0.976,292.16705,48.727589,15.263
K00761.01,FALSE POSITIVE,11152159,2.701287801,170.69579,3.3827,860.4,5.044661,39.745068,387.0,5550.0,4.468,-0.04,0.91,0.889,297.92365,48.777321,15.54
K00762.01,CONFIRMED,11153539,4.49876511,171.34905,3.7362,460.0,4.435833,26.501581,238.0,6075.0,4.486,-0.12,0.969,1.048,298.45685,48.791592,15.395
K00763.01,FALSE POSITIVE,11242721,19.651209505,179.401981,5.2514,11766.0,85.46643,509.4985,59.0,6074.0,4.391,-0.12,1.063,1.014,291.0939,48.933842,15.536
K00115.01,CONFIRMED,9579641,5.412203927,133.143089,2.9472,601.6,46.475086,163.47614,244.0,5779.0,4.339,-0.06,1.087,0.941,287.88733,46.276241,12.791
K00764.01,CONFIRMED,11304958,41.43958662,208.93203,10.5989,2793.1,27.788597,124.52492,33.0,5468.0,4.367,0.22,1.046,0.93,295.55505,49.017342,15.4
K00765.01,CONFIRMED,11391957,8.35389523,171.63257,2.2514,1041.6,5.6967807,36.34974,127.0,5592.0,4.582,-0.28,0.787,0.862,285.49924,49.277351,15.317
K00766.01,CONFIRMED,11403044,4.125543472,169.752585,3.1744,1487.3,9.387555,94.70979,323.0,6174.0,4.417,0.1,1.103,1.162,291.93616,49.253979,15.506
K00767.01,CONFIRMED,11414511,2.816504904,170.9676846,2.50587,16814.0,104.64681,1328.3038,474.0,5532.0,4.452,0.14,0.955,0.941,297.01547,49.225288,15.052
K00768.01,FALSE POSITIVE,11442465,33.93373447,186.67608,14.561,8503.7,52.86124,193.4089,31.0,5040.0,4.628,-0.24,0.705,0.782,284.17233,49.360722,15.716
K00786.01,CONFIRMED,12110942,3.689920099,170.36571,2.6557,426.7,4.8750124,31.786789,360.0,5880.0,4.518,-0.06,0.917,1.01,291.62241,50.61824,15.242
K00787.01,CONFIRMED,12366084,4.431238488,171.015,3.15,1010.9,6.815371,58.259056,302.0,5714.0,4.428,0.16,1.015,1.007,295.81616,51.121738,15.367
K00787.02,CONFIRMED,12366084,11.37936986,133.84992,2.6255,1023.5,5.2506146,29.930164,109.0,5714.0,4.428,0.16,1.015,1.007,295.81616,51.121738,15.367
K00788.01,CONFIRMED,12404086,26.39432897,176.05459,3.573,1510.9,8.917681,41.269753,51.0,5129.0,4.595,0.02,0.763,0.846,289.39972,51.25032,15.234
K00116.01,CONFIRMED,8395660,13.57078281,136.279194,3.3539,511.7,18.771214,76.76887,101.0,5854.0,4.406,-0.12,1.012,0.951,300.86398,44.337551,12.882
K00115.02,CONFIRMED,9579641,7.12594387,139.00492,3.0014,192.4,6.1814723,39.793564,181.0,5779.0,4.339,-0.06,1.087,0.941,287.88733,46.276241,12.791
K00774.01,FALSE POSITIVE,11656840,7.442652004,169.9717797,2.3078,24446.0,115.64278,1044.7283,180.0,6108.0,4.469,-0.3,0.956,0.981,288.98682,49.733742,15.27
K00775.01,CONFIRMED,11754553,16.38489988,172.72782,3.0249,1127.1,6.419572,28.122635,65.0,4126.0,4.661,0.04,0.615,0.633,286.73804,49.97575,15.095
K00775.02,CONFIRMED,11754553,7.8774163,176.3759,2.0805,1306.1,10.036489,41.450657,135.0,4126.0,4.661,0.04,0.615,0.633,286.73804,49.97575,15.095
K00775.03,CONFIRMED,11754553,36.4454001,151.60125,4.007,1122.3,5.9903665,19.803268,27.0,4126.0,4.661,0.04,0.615,0.633,286.73804,49.97575,15.095
K00776.01,CONFIRMED,11812062,3.728732147,171.793255,2.683,5226.5,28.264866,360.1958,357.0,5497.0,4.577,-0.1,0.809,0.907,290.78574,50.054119,15.523
K00777.01,CANDIDATE,11818800,40.4195037,173.56469,3.362,6256.0,22.598503,94.071846,36.0,5446.0,4.507,-0.54,0.781,0.714,294.31686,50.080231,15.487
K00778.01,CONFIRMED,11853255,2.243380573,170.679233,1.1196,821.7,4.251499,30.578562,472.0,4149.0,4.698,-0.32,0.564,0.578,285.17621,50.149818,15.135
K00779.01,FALSE POSITIVE,11909839,10.405998015,177.197466,6.5036,14489.0,97.352005,691.1691,117.0,5746.0,4.393,-0.54,0.924,0.77,289.23553,50.241001,15.562
K00780.01,CONFIRMED,11918099,2.337437946,171.761982,1.9982,971.2,6.0310416,63.58795,578.0,5005.0,4.595,0.14,0.765,0.85,293.83331,50.23035,15.334
K00780.02,CANDIDATE,11918099,7.2406612,137.75545,0.558,556.4,3.2751372,9.1666,168.0,5005.0,4.595,0.14,0.765,0.85,293.83331,50.23035,15.334
K00115.03,CANDIDATE,9579641,3.43591631,132.6624,3.133,23.2,3.8943021,7.4337807,357.0,5779.0,4.339,-0.06,1.087,0.941,287.88733,46.276241,12.791
K00781.01,CONFIRMED,11923270,11.59822233,180.395376,2.5237,2804.5,11.461336,62.376225,115.0,3688.0,4.79,0.0,0.473,0.503,296.22195,50.28722,15.937
K00782.01,CONFIRMED,11960862,6.575315881,173.634044,4.3084,2793.3,20.537346,210.22159,205.0,5992.0,4.415,-0.32,0.989,0.927,290.09805,50.321609,15.312
K00783.01,CONFIRMED,12020329,7.275040844,169.994217,7.5377,3001.0,24.639503,234.95987,188.0,5485.0,4.556,0.21,0.867,0.986,295.45529,50.49456,15.08
K00784.01,CONFIRMED,12066335,19.27153892,186.77093,2.7594,1219.8,6.437265,28.490973,67.0,4077.0,4.702,-0.24,0.56,0.576,293.97336,50.53191,15.385
K00784.02,CONFIRMED,12066335,10.06524317,136.28906,1.369,1053.3,5.446764,21.658537,126.0,4077.0,4.702,-0.24,0.56,0.576,293.97336,50.53191,15.385
K00785.01,CONFIRMED,12070811,12.3935651,178.74725,3.8896,916.6,5.6057496,31.608551,107.0,5557.0,4.603,-0.4,0.75,0.832,296.02133,50.56778,15.505
K00116.02,CONFIRMED,8395660,43.84439721,151.93538,6.802,615.2,16.554466,65.59482,29.0,5854.0,4.406,-0.12,1.012,0.951,300.86398,44.337551,12.882
K00798.01,FALSE POSITIVE,3120431,3.341913228,171.63943,3.813,725.3,5.0937037,32.72262,780.0,5295.0,4.551,-0.02,0.811,0.853,292.31595,38.27029,15.629
K00799.01,FALSE POSITIVE,3246984,1.626630225,169.820171,2.1145,1620.6,5.3061833,45.885685,664.0,5735.0,4.41,-0.18,0.973,0.889,294.36819,38.31028,15.279
K00800.01,CONFIRMED,3342970,2.711504086,170.03417,3.0099,837.5,6.3430967,48.726124,494.0,6214.0,4.442,0.07,1.076,1.169,291.65353,38.494659,15.541
K00800.02,CONFIRMED,3342970,7.21203748,172.81782,4.0491,950.4,6.1683164,40.04205,165.0,6214.0,4.442,0.07,1.076,1.169,291.65353,38.494659,15.541
K00789.01,FALSE POSITIVE,12459725,14.1798187,171.50237,2.505,459.9,,,,5799.0,4.539,-0.1,0.878,0.975,291.0448,51.321671,15.727
K00790.01,CONFIRMED,12470844,8.47237911,174.16212,2.7245,1123.5,5.7419868,39.867977,159.0,5354.0,4.587,-0.08,0.788,0.884,296.36652,51.319519,15.339
K00790.02,CONFIRMED,12470844,60.4189369,181.16367,5.039,931.3,6.335456,15.139797,22.0,5354.0,4.587,-0.08,0.788,0.884,296.36652,51.319519,15.339
K00791.01,CONFIRMED,12644822,12.611904345,180.892284,5.1497,6105.6,31.536423,207.6196,104.0,5795.0,4.508,-0.02,0.919,0.992,289.11221,51.737381,15.14
K00792.01,FALSE POSITIVE,2440757,1.433769925,170.403536,1.8868,1976.3,10.709492,67.78838,481.0,6017.0,4.22,0.02,1.339,1.083,290.84369,37.728828,15.122
K00793.01,FALSE POSITIVE,2445129,10.31872301,173.31543,3.836,871.7,9.854863,34.775192,130.0,5927.0,4.409,0.07,1.06,1.05,291.84891,37.713501,15.065
K00794.01,CONFIRMED,2713049,2.539183147,169.67494,2.4282,382.1,4.680462,34.037075,528.0,5519.0,4.35,0.14,1.062,0.921,291.43997,37.905659,15.026
K00795.01,CONFIRMED,3114167,6.770300385,170.57662,2.0844,1304.0,6.5691905,43.840405,200.0,5653.0,4.656,-0.84,0.679,0.767,290.87051,38.273628,15.591
K00796.01,FALSE POSITIVE,3114661,0.444291966,169.865406,2.0792,10967.0,40.64358,277.1132,1466.0,5255.0,4.678,-0.72,0.636,0.709,290.99689,38.28492,15.748
K00797.01,CANDIDATE,3115833,10.181584004,177.141891,3.5089,5741.1,27.099031,173.09894,129.0,5988.0,4.541,-0.52,0.836,0.885,291.28195,38.241669,15.657
K00812.02,CONFIRMED,4139816,20.06036336,147.46554,3.3203,1494.7,7.1802754,27.241827,59.0,3950.0,4.754,-0.46,0.493,0.502,286.07913,39.27832,15.954
K00812.03,CONFIRMED,4139816,46.1842039,165.23729,4.758,1394.7,6.2605453,18.020908,25.0,3950.0,4.754,-0.46,0.493,0.502,286.07913,39.27832,15.954
K00116.04,CONFIRMED,8395660,23.9800854,147.537,5.351,104.0,4.1784496,10.87813,56.0,5854.0,4.406,-0.12,1.012,0.951,300.86398,44.337551,12.882
K00812.04,CONFIRMED,4139816,7.82502168,136.54995,2.186,520.8,3.8379083,12.582854,154.0,3950.0,4.754,-0.46,0.493,0.502,286.07913,39.27832,15.954
K00813.01,CONFIRMED,4275191,3.895936525,170.527552,2.3111,8544.8,35.58241,375.5263,275.0,5557.0,4.592,-0.3,0.774,0.866,294.65524,39.308361,15.725
K00814.01,CONFIRMED,4476123,22.36646466,175.45862,5.228,986.8,6.2514634,25.599396,48.0,5395.0,4.615,-0.34,0.734,0.821,294.71063,39.52174,15.583
K00801.01,CONFIRMED,3351888,1.625522174,170.8266564,2.38963,7969.0,43.135384,712.5235,657.0,5539.0,4.322,0.16,1.106,0.935,293.87192,38.422939,15.001
K00802.01,CANDIDATE,3453214,19.620346923,181.881819,2.0038,21725.0,73.60154,353.8584,52.0,5710.0,4.492,-0.1,0.905,0.928,293.81619,38.563568,15.562
K00803.01,FALSE POSITIVE,3554600,7.544039,171.7982,6.222,322.6,4.5001316,12.162734,143.0,5657.0,4.567,-0.18,0.824,0.919,293.94116,38.601101,15.559
K00804.01,CONFIRMED,3641726,9.02930689,177.20422,3.1449,1019.8,7.610865,47.37303,146.0,5349.0,4.526,-0.12,0.82,0.824,290.33362,38.72823,15.387
K00805.01,FALSE POSITIVE,3734868,10.328035714,174.581054,7.7915,16918.0,76.945915,589.42316,114.0,5627.0,4.359,-0.1,1.024,0.874,287.69675,38.886452,15.646
K00806.01,CONFIRMED,3832474,143.2063047,154.23552,8.9302,10566.0,45.13809,115.57215,9.0,5485.0,4.556,0.21,0.867,0.986,285.28363,38.947281,15.403
K00116.03,CONFIRMED,8395660,6.164876,135.63916,3.262,55.8,2.6950479,11.552998,207.0,5854.0,4.406,-0.12,1.012,0.951,300.86398,44.337551,12.882
K00806.02,CONFIRMED,3832474,60.32494216,243.892578,6.6188,20280.0,88.82677,323.38303,22.0,5485.0,4.556,0.21,0.867,0.986,285.28363,38.947281,15.403
K00806.03,CONFIRMED,3832474,29.1598615,150.69922,4.803,488.0,,,,5485.0,4.556,0.21,0.867,0.986,285.28363,38.947281,15.403
K00807.01,FALSE POSITIVE,3836375,1.540397253,170.50479,2.1541,816.1,7.5703845,32.004185,842.0,5663.0,4.53,0.21,0.915,1.034,286.92639,38.921631,15.974
K00808.01,FALSE POSITIVE,3838486,2.99025443,171.9834,5.414,589.2,4.439786,35.481506,454.0,4667.0,4.578,0.1,0.731,0.737,287.74881,38.92955,15.842
K00809.01,CONFIRMED,3935914,1.594745374,170.6483505,1.9604,15044.0,62.03516,1015.921,762.0,5934.0,4.491,-0.38,0.893,0.901,285.21381,39.027481,15.53
